source,target,value 
Web Development,jQuery,52
Web Development,XHTML,44
Web Development,CSS,31
Web Development,Web Development,45
Web Development,XML,9
Web Development,REST,8
Web Development,Zend Framework,3
Web Development,JIRA,2
Web Development,Subversion,6
Web Development,PHP,29
Web Development,LAMP,4
Web Development,E-commerce,3
Web Development,HTML,13
Web Development,AJAX,11
Web Development,IOT,3
Web Development,SQL,7
Web Development,Web Applications,35
Web Development,OOP,3
Web Development,Microsoft SQL Server,3
Web Development,Virtualization,2
Web Development,Linux,6
Web Development,DOM Scripting,5
Web Development,CodeIgniter,3
Web Development,Node.js,5
Web Development,OpenSSH,4
Web Development,APIs,3
Web Development,SEO,6
Web Development,MVC,2
Web Development,JavaScript,31
Web Development,User Interface,3
Web Development,Git,3
Web Development,User Experience,6
Web Development,MySQL 4/5,3
Web Development,MySQL,18
Web Development,AngularJS,3
Web Development,JSON,3
Web Development,Continuous Integration,2
Web Development,WordPress,4
Web Development,Web Design,5
Web Development,Apache,7
Web Development,SOAP,2
Web Development,Information Architecture,3
Web Development,MVC Architecture,2
Web Development,Agile Methodologies,8
Web Development,Salesforce.com,5
Web Development,Docker,2
Web Development,Databases,8
Web Development,UIX,2
Web Development,Flash,4
Web Development,Web Services,3
